Macrotrends Data Download,,,
,,,
India GDP Growth Rate 1961-2023,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, , , 
date, GDP Growth (%), Annual Change, 
31-12-1961,3.7227,,
31-12-1962,2.9311,-0.79,
31-12-1963,5.9944,3.06,
31-12-1964,7.453,1.46,
31-12-1965,-2.6358,-10.09,
31-12-1966,-0.0553,2.58,
31-12-1967,7.826,7.88,
31-12-1968,3.3879,-4.44,
31-12-1969,6.5397,3.15,
31-12-1970,5.1572,-1.38,
31-12-1971,1.6429,-3.51,
31-12-1972,-0.5533,-2.2,
31-12-1973,3.2955,3.85,
31-12-1974,1.1853,-2.11,
31-12-1975,9.1499,7.96,
31-12-1976,1.6631,-7.49,
31-12-1977,7.2548,5.59,
31-12-1978,5.7125,-1.54,
31-12-1979,-5.2382,-10.95,
31-12-1980,6.7358,11.97,
31-12-1981,6.0062,-0.73,
31-12-1982,3.4757,-2.53,
31-12-1983,7.2889,3.81,
31-12-1984,3.8207,-3.47,
31-12-1985,5.2543,1.43,
31-12-1986,4.7766,-0.48,
31-12-1987,3.9654,-0.81,
31-12-1988,9.6278,5.66,
31-12-1989,5.9473,-3.68,
31-12-1990,5.5335,-0.41,
31-12-1991,1.0568,-4.48,
31-12-1992,5.4824,4.43,
31-12-1993,4.7508,-0.73,
31-12-1994,6.6589,1.91,
31-12-1995,7.5745,0.92,
31-12-1996,7.5495,-0.02,
31-12-1997,4.0498,-3.5,
31-12-1998,6.1844,2.13,
31-12-1999,8.8458,2.66,
31-12-2000,3.841,-5,
31-12-2001,4.824,0.98,
31-12-2002,3.804,-1.02,
31-12-2003,7.8604,4.06,
31-12-2004,7.9229,0.06,
31-12-2005,7.9234,0,
31-12-2006,8.0607,0.14,
31-12-2007,7.6608,-0.4,
31-12-2008,3.0867,-4.57,
31-12-2009,7.8619,4.78,
31-12-2010,8.4976,0.64,
31-12-2011,5.2413,-3.26,
31-12-2012,5.4564,0.22,
31-12-2013,6.3861,0.93,
31-12-2014,7.4102,1.02,
31-12-2015,7.9963,0.59,
31-12-2016,8.2563,0.26,
31-12-2017,6.7954,-1.46,
31-12-2018,6.4539,-0.34,
31-12-2019,3.8714,-2.58,
31-12-2020,-5.8311,-9.7,
31-12-2021,9.0503,14.88,
31-12-2022,7.003,-2.05,
